second,Latitude,Longitude
203829656,35.5907918,51.2076781
204030056,35.5907759,51.2077416
204229992,35.5907524,51.2078021
204430515,35.5907246,51.2078616
204630150,35.5906929,51.2079155
204806996,35.5906563,51.2079604
205007080,35.5906179,51.2080002
205230424,35.5905781,51.2080364
205406999,35.5905378,51.2080695
205606977,35.5904973,51.2081032
205807025,35.5904561,51.2081356
206007023,35.5904151,51.2081683
206206802,35.5903738,51.208201
206430191,35.5903325,51.208234
206630029,35.5902903,51.2082657
206848630,35.5902485,51.2082987
207007025,35.5902064,51.2083319
207186994,35.5901636,51.2083638
207406663,35.5901202,51.2083954
207606721,35.5900768,51.2084272
207787182,35.590033,51.2084591
208006724,35.5899888,51.2084902
208187032,35.5899443,51.2085199
208407042,35.5898997,51.2085495
208587162,35.5898548,51.2085787
208807754,35.5898096,51.208608
209007166,35.5897636,51.2086356
209230423,35.5897171,51.2086622
209407040,35.5896705,51.2086887
209726619,35.5896235,51.2087149
210107041,35.5895295,51.2087672
210526981,35.5894355,51.2088195
210906796,35.5893414,51.2088719
211327196,35.5892474,51.2089242
211726804,35.5891488,51.2088847
212026649,35.5890515,51.2089147
212248640,35.5890053,51.2089239
212475807,35.5889605,51.2089288
212675206,35.5889159,51.2089332
212874974,35.5888725,51.2089385
213075006,35.5888265,51.2089448
213286995,35.5887801,51.2089468
213507054,35.5887411,51.208943
213872069,35.5886507,51.2089326
214048752,35.5886046,51.2089226
214275026,35.5885597,51.2089094
214487177,35.5885136,51.2088943
214887605,35.5884265,51.2088603
215075077,35.588379,51.208847
215248671,35.5883496,51.2088165
215448684,35.5883245,51.2087764
215675468,35.5883005,51.2087389
215875156,35.5882805,51.2087001
216087414,35.5882639,51.2086613
216507074,35.5882326,51.2085846
216871769,35.5882064,51.2085103
217087159,35.5881974,51.2084741
217287044,35.588188,51.2084356
217507011,35.5881789,51.2083971
217887014,35.5881594,51.2083211
218249036,35.5881386,51.2082433
218486809,35.5881281,51.2082041
218687064,35.5881178,51.2081652
218887005,35.5881092,51.208126
219074970,35.5881007,51.2080871
219306803,35.5880928,51.208048
219606750,35.5880795,51.207969
219826959,35.5880731,51.2079301
220027074,35.5880672,51.2078919
220226808,35.5880618,51.2078547
220471864,35.5880571,51.2078164
220626749,35.5880533,51.2077789
220826792,35.58805,51.2077405
221007554,35.5880469,51.2077026
221227069,35.5880445,51.2076647
221427057,35.5880423,51.2076269
221626926,35.5880401,51.2075895
221826731,35.5880373,51.2075516
222051721,35.5880345,51.2075141
222251711,35.5880317,51.2074767
222426730,35.5880286,51.2074394
222651585,35.588025,51.2074025
222806742,35.5880206,51.2073654
223007127,35.5880158,51.2073283
223226784,35.5880106,51.2072911
223427671,35.5880048,51.2072535
223671999,35.5879983,51.207217
223826746,35.5879915,51.2071803
224027129,35.5879847,51.2071433
224226764,35.5879783,51.2071064
224426786,35.5879732,51.2070687
224626816,35.5879675,51.2070315
225027171,35.5879553,51.2069569
225207288,35.5879497,51.2069193
225426988,35.5879446,51.2068813
225626982,35.5879384,51.2068439
225827011,35.5879326,51.2068072
226051780,35.5879262,51.2067709
226226775,35.5879199,51.2067347
226452127,35.5879127,51.2066991
226626743,35.5879055,51.2066633
226826806,35.5878989,51.2066274
227051643,35.5878923,51.2065913
227251690,35.5878859,51.2065558
227451640,35.5878793,51.2065204
227626863,35.5878724,51.206485
227806862,35.587865,51.2064503
228007135,35.5878584,51.2064153
228227064,35.5878518,51.2063792
228451794,35.5878447,51.2063436
228626761,35.5878398,51.2063079
228851605,35.5878363,51.2062713
229027360,35.587833,51.2062345
229251762,35.5878314,51.2061975
229452117,35.5878314,51.2061595
229626799,35.5878318,51.2061219
229851611,35.5878343,51.2060843
230051778,35.5878372,51.2060474
230251712,35.5878414,51.2060094
230471998,35.5878461,51.2059713
230626780,35.5878509,51.2059333
230826756,35.5878557,51.2058951
231027182,35.5878601,51.2058565
231251748,35.5878646,51.2058181
231451766,35.5878683,51.2057796
231626780,35.5878719,51.2057411
231826817,35.5878758,51.2057024
232007206,35.5878795,51.2056638
232227103,35.5878829,51.2056256
232451668,35.5878871,51.2055883
232626786,35.587891,51.2055515
232826688,35.5878948,51.205515
233027213,35.5878994,51.2054791
233226916,35.5879026,51.2054444
233407020,35.5879076,51.2054092
233606788,35.587913,51.2053746
233826795,35.5879182,51.2053403
234027343,35.5879251,51.2053066
234226706,35.5879322,51.2052728
234427152,35.5879391,51.2052389
234626704,35.5879476,51.2052058
234806706,35.5879585,51.205174
235027110,35.5879699,51.2051431
235251203,35.5879819,51.205112
235426751,35.5879945,51.2050805
235627478,35.5880064,51.205049
235826980,35.5880173,51.2050163
236007016,35.5880272,51.2049835
236206749,35.5880358,51.2049504
236426811,35.5880423,51.2049178
236626747,35.58805,51.2048845
236806770,35.5880579,51.2048498
